Vivado Simulator 2020.1
Time resolution is 1 ps
Output for different selection inputs when m=0
A=0010,B=0001,cin=0,s=0000,F=0011,Cn+4=1, p=0, g=0
A=0010,B=0101,cin=1,s=0001,F=0111,Cn+4=1, p=0, g=0
A=0010,B=0011,cin=1,s=0010,F=1110,Cn+4=1, p=0, g=0
A=0010,B=0101,cin=0,s=0011,F=0000,Cn+4=0, p=1, g=0
A=0010,B=0101,cin=1,s=0100,F=0100,Cn+4=1, p=0, g=0
A=0010,B=0001,cin=0,s=0101,F=0110,Cn+4=1, p=0, g=0
A=0010,B=0001,cin=0,s=0110,F=0001,Cn+4=0, p=0, g=1
A=0010,B=0001,cin=0,s=0111,F=0010,Cn+4=0, p=0, g=1
A=0010,B=0001,cin=0,s=1000,F=0011,Cn+4=1, p=0, g=0
A=0010,B=0001,cin=0,s=1001,F=0100,Cn+4=1, p=0, g=0
A=0010,B=0001,cin=0,s=1010,F=1111,Cn+4=1, p=0, g=0
A=0010,B=0001,cin=0,s=1011,F=0000,Cn+4=0, p=1, g=0
A=0010,B=0001,cin=0,s=1100,F=0101,Cn+4=1, p=0, g=0
Output for different selection inputs when m=1
A=0010,B=0001,cin=0,s=0000,F=1101,Cn+4=0, p=0, g=0
A=0010,B=0101,cin=0,s=0100,F=1111,Cn+4=0, p=0, g=0
